id_data,data,ano,mes,nome_mes,semana_ano,dia_mes,dia_semana,nome_dia
20220101,2022-01-01,2022,1,January,1,1,6,Saturday
20220102,2022-01-02,2022,1,January,2,2,7,Sunday
20220103,2022-01-03,2022,1,January,2,3,1,Monday
20220104,2022-01-04,2022,1,January,2,4,2,Tuesday
20220105,2022-01-05,2022,1,January,2,5,3,Wednesday
20220106,2022-01-06,2022,1,January,2,6,4,Thursday
20220107,2022-01-07,2022,1,January,2,7,5,Friday
20220108,2022-01-08,2022,1,January,2,8,6,Saturday
20220109,2022-01-09,2022,1,January,3,9,7,Sunday
20220110,2022-01-10,2022,1,January,3,10,1,Monday
20220111,2022-01-11,2022,1,January,3,11,2,Tuesday
20220112,2022-01-12,2022,1,January,3,12,3,Wednesday
20220113,2022-01-13,2022,1,January,3,13,4,Thursday
20220114,2022-01-14,2022,1,January,3,14,5,Friday
20220115,2022-01-15,2022,1,January,3,15,6,Saturday
20220116,2022-01-16,2022,1,January,4,16,7,Sunday
20220117,2022-01-17,2022,1,January,4,17,1,Monday
20220118,2022-01-18,2022,1,January,4,18,2,Tuesday
20220119,2022-01-19,2022,1,January,4,19,3,Wednesday
20220120,2022-01-20,2022,1,January,4,20,4,Thursday
20220121,2022-01-21,2022,1,January,4,21,5,Friday
20220122,2022-01-22,2022,1,January,4,22,6,Saturday
20220123,2022-01-23,2022,1,January,5,23,7,Sunday
20220124,2022-01-24,2022,1,January,5,24,1,Monday
20220125,2022-01-25,2022,1,January,5,25,2,Tuesday
20220126,2022-01-26,2022,1,January,5,26,3,Wednesday
20220127,2022-01-27,2022,1,January,5,27,4,Thursday
20220128,2022-01-28,2022,1,January,5,28,5,Friday
20220129,2022-01-29,2022,1,January,5,29,6,Saturday
20220130,2022-01-30,2022,1,January,6,30,7,Sunday
20220131,2022-01-31,2022,1,January,6,31,1,Monday
20220201,2022-02-01,2022,2,February,6,1,2,Tuesday
20220202,2022-02-02,2022,2,February,6,2,3,Wednesday
20220203,2022-02-03,2022,2,February,6,3,4,Thursday
20220204,2022-02-04,2022,2,February,6,4,5,Friday
20220205,2022-02-05,2022,2,February,6,5,6,Saturday
20220206,2022-02-06,2022,2,February,7,6,7,Sunday
20220207,2022-02-07,2022,2,February,7,7,1,Monday
20220208,2022-02-08,2022,2,February,7,8,2,Tuesday
20220209,2022-02-09,2022,2,February,7,9,3,Wednesday
20220210,2022-02-10,2022,2,February,7,10,4,Thursday
20220211,2022-02-11,2022,2,February,7,11,5,Friday
20220212,2022-02-12,2022,2,February,7,12,6,Saturday
20220213,2022-02-13,2022,2,February,8,13,7,Sunday
20220214,2022-02-14,2022,2,February,8,14,1,Monday
20220215,2022-02-15,2022,2,February,8,15,2,Tuesday
20220216,2022-02-16,2022,2,February,8,16,3,Wednesday
20220217,2022-02-17,2022,2,February,8,17,4,Thursday
20220218,2022-02-18,2022,2,February,8,18,5,Friday
20220219,2022-02-19,2022,2,February,8,19,6,Saturday
20220220,2022-02-20,2022,2,February,9,20,7,Sunday
20220221,2022-02-21,2022,2,February,9,21,1,Monday
20220222,2022-02-22,2022,2,February,9,22,2,Tuesday
20220223,2022-02-23,2022,2,February,9,23,3,Wednesday
20220224,2022-02-24,2022,2,February,9,24,4,Thursday
